Eppadi Manasukkul Vanthai,
Palayamkottai,
Panithuli,
Sri Ramakrishna Darsanam,
Iruvan,
Poovampatty,
Aachariyangal,
Anil,
Avan Appadithan,
Perumaan,
Valiban Suttrum Ulagam,
Arakkonam,
Kalla Parunthu,
Nellai Sandhippu,
Pudhiya Kaaviyam,
Sembattai,
Soundarya,
Amridha Yokam,
Koyambedu Perundhu Nilayam,
Ariyaan,
Asaivam,
Magan,
Yaarukku Theriyum,
Kasi Kuppam,
Neerparavai,
Sun Sun Thatha,
Sattam Oru Iruttarai,
Akilan,
Kandu Pudichitten,
Lollu Dhadha Parak Parak,
Paraseega Mannan,
Puthumughangal Thevai,
Kanavu Kadhalan,2013
Kurumbukkara Pasanga,
Mayil Paarai,
Nanbargal Gavanathirkku,
Pathayeram Kodi,
Vana Yuddham,
Ameerin Aadhi Bhagavan,
Ariyathavan Puriyathavan,
Aandava Perumal,
Chandamama,
Lollu Dada Parag Parag,
Pesamal Pesinaal,
Garuda Paarvai,
Karumpuli,
Paradesi,
Vatthikuchi,
Kan Pesum Varthaigal,
Kantha,
Maranthen Mannithen,
Naanum En Jamunavum,
Azhagan Azhagi,
11355,
Keeripulla,
Vetkathai Kettal Enna Tharuvai,
Maruvisaranai,
Ninaivugal Azhivathillai,
Maman Machan,
Unaku 20 Enaku 40,
Iru Killadigal,
Thirumathi Thamizh,
Oruvar Meethu Iruvar Sainthu,
Moondru Per Moondru Kadhal,
Galapetti,
Chockali,
Issaki,
Kandathum Kadhal Antharangam,
Yamuna,
Solla Matten,
Theekulikkum Pachaimaram,
Singam II,
Anba Azhaga,
Kaadhale Ennai Kaadhali,
Sathiram Perundhu Nilayam,
Nenju Irukkum Varai Ninaivu Irukkum,
Pullukatu Muthamma,
Thanga Meenkal,
Arya Surya,
Adutha Kattam,
Mouna Mazhai,
Onaayum Aattukkuttiyum,
Nila Meedhu Kadhal,
Kayavan,
Anjal Thurai,
Ninaivugal Unnodu,
Ingu Kadhal Katrutharapadum,
Muthu Nagaram,
Vasanthasena,
Pandianadu,
Apple Penne,
Pizza 2: The Villa,
Ravana Desam,
Irandaam Ulagam,
Maayai,
Meiyazhagi,
Appavukku Kalyanam,
Ennachu,
Vellai Desathin Idhayam,
Ivan Veramathiri,
Sandhithathum Sindhithathum,
Thedi Pidi Adi,
Bhuvanakadu,
Agadam,2014
Athimalai Muthupandi,
En Kadhal Pudhidhu,
Kathiyai Theetathe Buthiyai Theetu,
Mun Andhi Saaral,
Namma Gramam,
Vidiyum Varai Pesu,
Malini 22 Palayamkottai,
Maalai Nera Pookkal,
Kovalanin Kadhali,
Madhavanum Malarvizhiyum,
Rettai Kadhir,
Chithirai Thingal,
Manaivi Amaivathellam,
Nila Kaaikirathu,
Venmegam,
Ethir Veechu,
Veeran Muthu Raaku,
Aadhiyum Andhamum,
Pani Vizhum Nilavu,
Yasagan,
Marumunai,
Nedunchaalai,
Koottam,
Aandava Kaapaathu,
Kandharvan,
Karpavai Katrapin,
Pongadi Neengalum Unga Kadhalum,
Nee Enge En Anbe,
Dhavani Kaatru,
Nee En Uyire,
Eppothum Vendran,
Enn Nenjai Thottaye,
Amma Ammamma,
Adhu Vera Idhu Vera,
Hogenakkal,
Poovarasam Peepee,
Athiyayam,
Manjapai,
Ottam Aarambam,
Thirudu Pogatha Manasu,
Uyirukku Uyiraga,
Vazhum Deivam,
Dhanush 5am Vaguppu,
Thalaikeezh,
Thirumanam Enum Nikkah,
Innarku Innarendru,
Muthal Manavan,
Sandiyar,
Agni,
Bharani,
Kadhal 2014,
Puthiyathor Ulagam Seivom,
Kadhalai Thavira Verondrum Illai,
Kalla Saavi,
Valiyudan Oru Kadhal,
Vachikava,
Maindhan,
Tamilselvanum 50KM Kalaiselviyum,
Ambel Jhoot,
Thalaikkonam,
Naan Ponnu Ondru Kanden,
Aalamaram,
Jamaai,
Kurai Ondrum Illai,
Muyal,
Nee Naan Nizhal,
Pulippu Inippu,
Yaavum Vasappadum,
Kadhalukku Kannillai,
Sokku Sundaram,
Panduvam,
Appuchi Graamam,
Anbendral Amma,
Murugatrupadai,
Pulipaarvai,
Vilasam,
Chinnan Chiriya Vanna Paravai,
Naaigal Jaakirathai,
Mosakutty,
Velmurugan Borewells,
Vingyani,
1 Pandhu 4 Run 1 Wicket,
13 Am Pakkam Parkka,
Manam Konda Kadhal,
Naangellam Edakoodam,
Pagadai Pagadai,
Innuma Nammala Namburanga,
Yaaro Oruvan,
Nadodi Paravai,
Natpin Nooram Naal,
Endrume Anandham,
Meaghamann,
Pesadha Padam,
Thiru Vi Ka Poonga,2015
Virudhalaam Pattu,
Vishayam Veliye Theriya Koodadhu,
Kizhakke Udhiththa Kaadhal,
Vettaiyadu,
Appavi Kateri,
Aroopam,
Mandodhari,
Manitha Kadhal Alla,
Tamiluku En Ondrai Aluthavum,
Manal Nagaram,
Bench Talkies - The First Bench,
En Vazhi Thani Vazhi,
(Direct-to-video),
Aivarattam,
Ivanuku Thannila Gandam,
Sonna Pocchu,
Thavarana Pathai,
Aaya Vada Sutta Kadhai,
Agathinai,
Kaala Kattam,
Mooch,
Patra,
Vethu Vaettu,
Manadhil Oru Maatram,
Nadhigal Nanaivadhillai,
Sarithram Pesu,
Thunai Mudhalvar,
O Kadhal Kanmani,
Iridiyam,
Neethane En Kovil,
Kadhal Ilavasam,
MGR Sivaji Rajini Kamal,
Nanbargal Narpani Mandram,
Siruvani,
Iruvar Ondranal,
Buddhanin Sirippu,
Dhegam Sudukuthu,
Kaaka Muttai,
Kathamma,
Puriyadha Anandam Puthithaga Arambam,
Inimey Ippadithan,
Iru Kadhal Oru Kadhai,
Iyakkunar,
Lodukku Pandi,
Yagavarayinum Naa Kaakka,
Oru Thozhan Oru Thozhi,
Paranjothi,
Kamaraj,
Ore Oru Raja Mokkaraja,
Maharani Kottai,
Miss Pannidatheenga Appuram Varuthapaduveenga,
Aavi Kumar,
Guru Sukran,
Azhage Illatha Azhagana Kathai,
Kalai Vendhan,
Kurangu Kaila Poomalai,
Vandha Mala,
Akila Muthalam Vaguppu,
Nirayudham,
Aluchatiyam,
Bhanu,
Pokkiri Mannan,
Naanaage Naanillai,
Jippaa Jimikki,
Thiruttu VCD,
Unakenna Venum Sollu,
Dummy Tappasu,
Kaththukkutti,
Maiem,
Marappaachi,
Sillunu Oru Payanam,
Sivappu,
Thiraipada Nagaram,
10 Enradhukulla,
Kubera Rasi,
Apoorva Mahaan,
Adhyan,
Chikkiku Chikkikichu,
Illaignar Paasarai,
Kathirvel Kaaka,
Om Shanti Om,
Pallikoodam Pogamale,
Viraivil Isai,
Iniya Ulavaga,
Kring Kring,
Uyirvarai Iniththaai,
Injimarappa,
Thoongaa Vanam,
Inji Iduppazhagi,
Thiruttu Rail,
Bhooloham,
Karai Oram,
Arithaaram,
Kurangu Kaila Poo Maalai,
Meenakshi Kadhalan Ilangovan,
Thigilodu Vilaiyaadu,
Rajini Murugan,
Irudhi Suttru,
Naalu Per Naalu Vidhama Pesuvaanga,
Nanaiyadhe Mazhaiye,
