id,shortForm,staff,subjectName,url,year
621,Comp CD,Dr. Aneetha,Compiler Designing,https://drive.google.com/open?id=1KL-CcfUgR1TY5ix2UQtrUdXyS3o38noM,2015
622,Comp CD,Dr. Aneetha,Compiler Designing,https://drive.google.com/open?id=1CfomYBSOCspGtx31I248vSfJ0HPs7EKa,2015
623,Comp CD,Dr. Aneetha,Compiler Designing,https://drive.google.com/open?id=1lYvG25zANHcPpfC7mJ4r3ui5F4oD1kTw,2015
624,OR,Dr. PaulRaj,Operational Research,https://drive.google.com/open?id=1KF0R3WVbYc7s4wJ9UppTIXmnuTIv5LGA,2015
625,OR,Dr. PaulRaj,Operational Research,https://drive.google.com/open?id=1SWLSwPUIW8c-1xyGTkus40NG-6aaEu0Q,2015
626,OR,Dr. PaulRaj,Operational Research,https://drive.google.com/open?id=1l4-zEd8FVy9RH3aKvCldhsevG73tfBjk,2015
627,IM,Dr. Ramani,Information Mangement,https://drive.google.com/open?id=1kr90Gxg6egA9Y5xvWWQPiCmjy-_6bpqY,2015
628,IM,Dr. Ramani,Information Mangement,https://drive.google.com/open?id=1AgeDEWks2rNrBW0X0OKufLwEwPDyAF14,2015
629,MPC,Kannan,Mobile Pervasive Computing,https://drive.google.com/open?id=1UYhW7RvAwR49p3IxY56m3IgwuvbGAD8w,2015
630,MPC,Kannan,Mobile Pervasive Computing,https://drive.google.com/open?id=1fDtwRVy2ano8y0eDWw6WHgYyOAmzUbGi,2015
631,MPC,Kannan,Mobile Pervasive Computing,https://drive.google.com/open?id=1tOR01Cgv4UIhrIezhIdoMuaYFghvpeWT,2015
632,SOA,Mr.kamalaKannan,Service Oriented Architecture,https://drive.google.com/open?id=1qDG0wx9z4XEqBBIDRymSDtxgtvbBEs1k,2015
526,M1,Dr. Venkatesan,Mathematics – I,https://drive.google.com/open?id=157CYf-JGOcCwF-5DqxbkS8uF89apMV3v,2015
527,M1,Dr. Venkatesan,Mathematics – I,https://drive.google.com/open?id=1U8tisp4dynjFFvHwc-EGV0kUqbkkAQFt,2015
528,M1,Dr. Venkatesan,Mathematics – I,https://drive.google.com/open?id=1gC4DYxeyesNWHs_6ebbZTvr-0Wq6ZAJB,2015
529,Phy,Nisha,Applied Physics,https://drive.google.com/open?id=1L3E4lnlsQtSASHoDfTfzEJ7YF05QD0v0,2015
531,Phy,Nisha,Applied Physics,https://drive.google.com/open?id=1ZZP6mXS-FWPoqaczLr93wNyzd9oBaY5X,2015
535,FOC,TamilVanan,Fundamentals of Computing,https://drive.google.com/open?id=1YbEhmlCml-YrFMabCowyQMxwIAbglIJq,2015
536,Tech Eng,-,Technical Communication,https://drive.google.com/open?id=1oxBPoagWE0ozwbpWXop4h7I8c7L-yc7k,2015
537,Tech Eng,-,Technical Communication,https://drive.google.com/open?id=1YdVaOoKtZbleEZLvqh3shI1tiIqTcXWQ,2015
538,Tech Eng,-,Technical Communication,https://drive.google.com/open?id=1UxgTF1AdrJED-Io9dExyaareEeYb_RKr,2015
539,DM,Dr. Indira,Discrete Mathematics,https://drive.google.com/open?id=1_KDiy7rwBYD0VVSXcEoGzKJ-lr0yosWH,2015
545,DS,Dr. Anitha,Digital Systems,https://drive.google.com/open?id=1P_Y2Sx1qDNEQYKZjStqhsBDa-NKoUO9L,2015
550,M3,Dr.P.Loganathan,Mathematics - III,https://drive.google.com/open?id=1IQlA_hmZoWanRqtqfhgtpOu3IZSBnjF5,2015
551,M3,Dr.P.Loganathan,Mathematics - III,https://drive.google.com/open?id=1faoK5ZTJpcDDD_A6Rhx9TJaZAcylrJHT,2015
552,DS,Dr. Anitha,Data Structures,https://drive.google.com/open?id=1kSlmSuRewxu8_CTAC809JbUcz9Ct9XZ6,2015
553,DBMS,Dr. Washington,Database Management Systems,https://drive.google.com/open?id=1oPx2565RA2BMtCGkzTgXKaeSr0PkVOsZ,2015
555,Mux MP,P.S.Karthika,Microprocessors and Applications,https://drive.google.com/open?id=1LyFuhrUm7Yta4yLcX5A39aPihnKQusWk,2015
556,CPP,Dr. AnbuChelian,Object Oriented Programming in C++,https://drive.google.com/open?id=1EgMiswD1MYctPQgUhlB5tdDl5sXuCoBw,2015
557,CPP,Dr. AnbuChelian,Object Oriented Programming in C++,https://drive.google.com/open?id=1mA16OtZmqHDchpFYHzOkQYqTix8HkzSq,2015
559,CGT,Dr. Indira,Combinatorics and Graph Theory,https://drive.google.com/open?id=1gLOC_VjaQzlNEUfmKMaiDG7m8wTYuMfy,2015
560,CGT,Dr. Indira,Combinatorics and Graph Theory,https://drive.google.com/open?id=1W0kr0kYLLWRrjGliA5Ub21FS1U_eZERI,2015
561,CGT,Dr. Indira,Combinatorics and Graph Theory,https://drive.google.com/open?id=1k6NtIQD8Fp8cTk9EEHpYtubbj1mc1WNj,2015
562,CA,V.Kanakasabapathi,Computer Architecture,https://drive.google.com/open?id=1hKDyBribwPDwsAtq6pzur8TfuLI-oAUY,2015
563,CA,V.Kanakasabapathi,Computer Architecture,https://drive.google.com/open?id=18f7JE9IPnUL9H_Qf_MeK2WqgwSCecU0H,2015
564,CA,V.Kanakasabapathi,Computer Architecture,https://drive.google.com/open?id=10gCZYa5h6EOUxyU0YLZ64M6t5_Uw2EK6,2015
565,JAVA,K.Kamalakannan,Java and Internet Programming,https://drive.google.com/open?id=1CttDqsrzbT5ICVnJdloHdqxZfivAuXXd,2015
566,JAVA,K.Kamalakannan,Java and Internet Programming,https://drive.google.com/open?id=1rds3XORtHQ2v3gGhkld345WGLRjsxLuT,2015
567,JAVA,K.Kamalakannan,Java and Internet Programming,https://drive.google.com/open?id=1o8FB3z3VxyIBcGVmFUdjkWqc7Vua5G9J,2015
568,OS,Mrs. Ponni,Operating Systems,https://drive.google.com/open?id=18cLYxNdYOJBWM7ohRNRif6ojJsvW0yuT,2015
569,OS,Mrs. Ponni,Operating Systems,https://drive.google.com/open?id=1hYRis7q6AXpVES-ev1PPXc5h3NzQs3K1,2015
570,OS,Mrs. Ponni,Operating Systems,https://drive.google.com/open?id=1fAYx6Px62NNBZFydFJjBQMVGi_ys1Qyo,2015
571,TOC,Dr. Sethuraman,Theory of Computation,https://drive.google.com/open?id=1h5HeS-onmaHcXXV0HNDRGW1AU1cybCQO,2015
573,TOC,Dr. Sethuraman,Theory of Computation,https://drive.google.com/open?id=1ch2oQvP9tt58YmNdHny2OgVgxK5oFsrU,2015
574,CRYPTO,Dr. Devaraj,cryptography,https://drive.google.com/open?id=1fbyi1zJcNS_R756_22f-hWK6yzE3rzPv,2015
575,CRYPTO,Dr. Devaraj,cryptography,https://drive.google.com/open?id=1cOVy0xCxaaCMRNHmrHvU9wHjbVpdGIz2,2015
